State,Institute,Course,Quota,Category,Fee,CR 2025 1,CR 2025 2,CR 2025 3,CR 2025 4
Maharashtra,"Grant Med Coll, Mumbai",GENERAL MEDICINE,AIQ,GEN,"₹ 1,57,100",333,486,808,-
West Bengal,"Govt. Med College, Kolkata",GENERAL MEDICINE,AIQ,GEN,"₹ 12,000",782,782,809,-
Maharashtra,"PD Hinduja, Mumbai",DNBGENERAL MEDICINE,DNB Post MBBS,GEN,"₹ 1,25,000",544,817,817,-
Haryana,"Pt BD Sharma, Rohtak",RADIO DIAGNOSIS,AIQ,OBC,"₹ 1,25,000",700,700,830,-
Maharashtra,"Topiwala, Mumbai",GENERAL MEDICINE,AIQ,EWS,"₹ 1,57,100",814,835,835,-
Odisha,"SCB, Cuttack",DERMATOLOGY,AIQ,OBC,"₹ 35,000",836,836,836,-
Rajasthan,"SNMC, Jodhpur",DERMATOLOGY,AIQ,GEN,"₹ 14,093",837,837,837,-
Maharashtra,"BARC, Mumbai",NUCLEAR MEDICINE,AIQ,GEN,"₹ 75,500",658,845,845,-
Karnataka,"Bangalore Med Coll, Bangalore",GENERAL MEDICINE,AIQ,EWS,"₹ 1,23,400",835,856,856,-
Maharashtra,"HurkisondasNurrotumdas, Mumbai",DNBRADIO DIAGNOSIS,DNB Post MBBS,GEN,"₹ 1,25,000",842,859,859,-
Kerala,"Malabar IMS, Kozhikode",DNBRADIO DIAGNOSIS,DNB Post MBBS,GEN,"₹ 1,25,000",595,863,863,-
Maharashtra,"Govt Med Coll, Nagpur",RADIO DIAGNOSIS,AIQ,OBC,"₹ 1,57,100",692,830,865,-
Karnataka,"Bangalore Med Coll, Bangalore",RADIO DIAGNOSIS,AIQ,EWS,"₹ 1,23,400",868,868,868,-
Uttar Pradesh,"JNMC (AMU), Aligarh",DERMATOLOGY,AIQ,GEN,"₹ 54,700",557,557,869,-
Kerala,"Medical College, Trivandrum",DERMATOLOGY,AIQ,OBC,"₹ 69,470",870,870,870,-
Delhi,"ABVIMS (Dr RML Hosp), Delhi",GENERAL MEDICINE,IP,GEN,"₹ 51,000",572,797,873,-
Delhi,"Lady Hardinge, Delhi",GENERAL MEDICINE,AIQ,ST,"₹ 16,200",4184,876,876,-
West Bengal,"IPGMER, Kolkata",GENERAL MEDICINE,AIQ,EWS,"₹ 12,000",877,877,877,-
Kerala,"Govt Med Coll, Kottayam",DERMATOLOGY,AIQ,GEN,"₹ 69,470",302,302,878,-
Kerala,"TD Med Coll, Allepey",GENERAL MEDICINE,AIQ,GEN,"₹ 69,470",443,740,879,-
Delhi,"UCMS, Delhi",GENERAL MEDICINE,DU,GEN,"₹ 47,220",579,880,880,-
Maharashtra,"Govt Med Coll, Nagpur",RADIO DIAGNOSIS,AIQ,EWS,"₹ 1,57,100",561,881,881,-
Delhi,"Lady Hardinge, Delhi",GENERAL MEDICINE,AIQ,OBC,"₹ 16,200",745,745,884,-
Delhi,"ABVIMS (Dr RML Hosp), Delhi",DERMATOLOGY,IP,GEN,"₹ 51,000",885,885,885,-
Jammu and Kashmir,"Govt Med Coll, Jammu",RADIO DIAGNOSIS,AIQ,EWS,"₹ 25,000",890,890,890,-
Delhi,"MAMC, Delhi",DERMATOLOGY,DU,GEN,"₹ 16,200",893,893,893,-
Maharashtra,"BJMC, Pune",RADIO DIAGNOSIS,AIQ,OBC,"₹ 1,57,100",500,896,896,-
